ACCTYR,ACCTMO, KW  UNITS , KWH UNITS , GAS DKT UNITS , WATER MCF UNITS , ELEC$ , GAS$ , WATER/SEWER$ 
2010,1,8252,4347054,50429,1594.3,227780.7,511981.16,68449.78
2010,2,8546,4304666,43115.3,1994.01,231973.48,435363.4,84953.84
2010,3,8408,4562760,38010.5,1888.89,250496.6,389071.87,80364.73
2010,4,8958,4441055,34921.6,1970.77,259313.19,360889.47,83811.72
2010,5,8137,4228505,28281.3,1995.54,252891.88,300988.33,84876.56
2010,6,8507,3935588,15886.6,1468.86,247681.9,190941.88,63478.91
2010,7,8607,4270105,11899.6,1284.01,282498.65,157139.47,55291.3
2010,8,8905,4173520,12829.2,2395.06,280124.27,165632.75,108590.84
2010,9,9592,4518190,21218.4,1924.6,295069.87,240746.66,87373.39
2010,10,9116,4612436,27805.7,2262.55,294753.71,299810.4,102370.84
2010,11,8405,4492026,46636.6,2146.19,257641.15,468136.59,97175.84
2010,12,8509,4431352,52860.4,2026.57,245441.9,524233.3,92202.28
2011,1,8319,4511042,50038.1,1463.7,265411.22,498995.31,67336.82
2011,2,8733,4370694,50105.2,2146.45,258366.21,499557.42,97798.07
2011,3,8444,4503564,40585.2,1956.55,271000.61,414131.15,88676.96
2011,4,8377,4394226,38591.3,1882.28,268312.18,396334.16,85778.13
2011,5,8306,3959660,26966.2,2004.04,262753.16,292062.66,91007.01
2011,6,8464,3983402,15452,1373.9,280691.15,189627.16,63538.56
2011,7,8700,4186461,10856.4,2627.76,296465.9,115125.72,98373.62
2011,8,9290,4359051,12360.8,2173.94,311332.36,124038.86,103705.31
2011,9,9277,4569606,17446.2,2415.3,318532.59,153769.22,114915.74
2011,10,9025,4494306,29079.7,2235.61,297837.55,222218.64,106112.72
2011,11,8754,4335164,40308.9,2391.61,253261.3,291459.02,114044.93
2011,12,8204,4292061,48051.7,2030.49,243160.37,335601.49,97110.3
2012,1,8065,4363265,46065.1,1371.17,252909.8,321085.68,66750.76
2012,2,8096,4347390,46100.6,2068.28,250442.45,321464.77,98847.17
2012,3,8549,4411280,34822.1,2009.14,268407,251249,95983.77
2012,4,9045,4410315,30798.4,2061.02,279876.53,225999.95,98774.88
2012,5,8138,3973210,22893.2,1970.54,255773.9,179892.88,94242.79
2012,6,8648,4062233,13989.7,1184.56,282288.58,128369.34,57713.57
2012,7,8701,4324713,9364.7,1923.4,307031.04,101751.08,92336.68
2012,8,9399,4473751,10920.1,2366.95,318952.44,110003.98,118811.31
2012,9,9157,4476139,15257.4,2570.08,311840.67,134934.63,129013.84
2012,10,8867,4604716,30641.8,2219.17,303827.69,223022.33,111483.4
2012,11,8710,4442820,37134.6,2132.86,272560.12,261388.75,107625.72
2012,12,8511,4335458,47230.4,1818.59,262578.45,320821.94,92096.51
2013,1,8175,4836726,48877.2,1384.35,284318.11,331410.86,71370.61
2013,2,7936,4733127,41108.5,1891.98,282001.04,292924.1,95832.79
2013,3,8305,4452652,37715.1,2097.14,277538.06,266603.38,106201.31
2013,4,8668,4480778,34188.8,1827.77,293751.32,252444.51,92751.95
2013,5,8047,3687699,19450.2,1932.99,275135.51,167025.33,97964.2
2013,6,8416,4006953,11614.6,1319.15,290862.77,122627.42,67865.56
2013,7,8621,4385229,9264.1,1612.54,321222.52,96308.56,82176.28
2013,8,9499.24,4645264,10737.1,2065.89,340684.17,102602.15,105739.4
2013,9,9566.54,4675880,17861.9,2090.44,339289.39,134707.55,99738.69
2013,10,8811.01,4642603,35022.4,2766.2,317784.73,209913.77,141375.75
2013,11,8233.03,4478687,39367,1674.75,282657.31,234585.95,86404.2
2013,12,8788.14,4335676,50969.9,1754,268931.46,324729.83,90483.41
2014,1,8072.76,4480246,46575.2,1291.96,265545.01,267122.94,67718.28
2014,2,8667.77,4343521,51235.6,1889.8,262984.26,334204.91,97346.51
2014,3,8285,4468518,39701.7,1833.33,292022.34,258250.47,94433.12
2014,4,8920.75,4484783,30530.9,1825.93,305560.83,186996.14,94366.32
2014,5,8425.75,4040310,19879,1663.61,287991.6,145555.92,86104.9
2014,6,7982.94,3884974,10918,1147.73,269369.77,105966.73,60367.1
2014,7,8289.41,4386414,8570.9,1280.3,326716.84,95273.94,67150.98
2014,8,9127.93,4380666,10680.7,1645.38,329018.89,103931.68,86381.44
2014,9,9611.17,4556715,18715.1,1758.09,337720.18,139576.37,92131.49
2014,10,8993.57,4608974,26192.1,2061.85,333390.62,172499.77,107388.38
2014,11,8304.1,4477575,45165.5,2365.12,294538.23,260963.69,123502.4
2014,12,8070.24,4283351,45337.2,1919.32,275574.39,267477.54,100484.21
2015,1,8241.26,4378815,45267.9,1506.62,281138.71,256918.76,80021.57
2015,2,8365.92,4215365,38108.3,1751.38,283563.61,225784.12,91853.07
2015,3,8694.14,4450265,32040.3,1870.94,309900.28,196762.69,97857.17
2015,4,8848.28,4398356,30235.1,1844.8,308889.07,188465.28,97071.2
2015,5,8505.82,4009014,21714.2,1678.27,310732.74,151119.66,88093.55
2015,6,8941.54,4190330,11339.9,1425.78,332198.28,106220.57,75525.31
2015,7,8625.21,4330594,11146.7,1618.43,326971.3,104969.11,84792.51
2015,8,9452.38,4514272,11726.6,1596.64,324378.15,107477.97,86014.01
2015,9,9432.05,4638792,15503.4,2006.35,349708.69,124212.61,107570.04
2015,10,9145.01,4669868,24588,2043.57,351532.39,168972.08,109141.24
2015,11,8210.61,4431441,42524,1958.5,292625.05,245406.13,104870.83
2015,12,8168.18,4302664,46908.9,1955.7,266741.73,264484.55,110732.69
