"Bldg No","Building Name","FISCYR","ACCTYR","ACCTMO","KW QTY","KW EST","KWH QTY","KWH EST","STEAM DKT","STEAM LBS","STEAM EST","TIER2 DKT","TIER2 EST","FIRM GAS DKT","FIRM GAS EST","TOTAL GAS  DKT","WATER MCF","WATER EST"
211,"11 FACULTY COURT",2007,2007,1,5.52,NA,1493,NA,0,0,NA,0,NA,36,NA,36,0.34,NA
211,"11 FACULTY COURT",2007,2007,2,5.41,NA,1117,NA,0,0,NA,0,NA,36,NA,36,0.36,NA
211,"11 FACULTY COURT",2007,2007,3,4.99,NA,970,NA,0,0,NA,0,NA,28,NA,28,0.32,NA
211,"11 FACULTY COURT",2007,2007,4,4.99,NA,957,NA,0,0,NA,0,NA,14.9,NA,14.9,0.28,NA
211,"11 FACULTY COURT",2007,2007,5,10.05,NA,1218,NA,0,0,NA,0,NA,13.8,NA,13.8,0.39,NA
211,"11 FACULTY COURT",2008,2007,6,10.45,NA,1634,NA,0,0,NA,0,NA,2.5,NA,2.5,0.69,NA
211,"11 FACULTY COURT",2008,2007,7,11.86,NA,2319,NA,0,0,NA,0,NA,0.4,NA,0.4,0.59,NA
211,"11 FACULTY COURT",2008,2007,8,12.53,NA,2132,NA,0,0,NA,0,NA,0,NA,0,0.37,NA
211,"11 FACULTY COURT",2008,2007,9,9.57,NA,1317,NA,0,0,NA,0,NA,0,NA,0,0.25,NA
211,"11 FACULTY COURT",2008,2007,10,5.06,NA,1471,NA,0,0,NA,0,NA,6.2,NA,6.2,0.24,NA
211,"11 FACULTY COURT",2008,2007,11,5.24,NA,1229,NA,0,0,NA,0,NA,39.5,NA,39.5,0.15,NA
211,"11 FACULTY COURT",2008,2007,12,5.49,NA,1275,NA,0,0,NA,0,NA,38.2,NA,38.2,0.15,NA
211,"11 FACULTY COURT",2008,2008,1,6.79,NA,1957,NA,0,0,NA,0,NA,30.1,NA,30.1,0.25,NA
211,"11 FACULTY COURT",2008,2008,2,7.98,NA,1669,NA,0,0,NA,0,NA,26.2,NA,26.2,0.25,NA
211,"11 FACULTY COURT",2008,2008,3,7.98,NA,1223,NA,0,0,NA,0,NA,23.2,NA,23.2,0.21,NA
211,"11 FACULTY COURT",2008,2008,4,7.98,NA,1288,NA,0,0,NA,0,NA,21,NA,21,0.21,NA
211,"11 FACULTY COURT",2008,2008,5,6.01,NA,1605,NA,0,0,NA,0,NA,2.5,NA,2.5,0.33,NA
211,"11 FACULTY COURT",2009,2008,6,10.62,NA,1634,NA,0,0,NA,0,NA,8.9,NA,8.9,0.53,NA
211,"11 FACULTY COURT",2009,2008,7,12.71,NA,3372,NA,0,0,NA,0,NA,0,NA,0,0.51,NA
211,"11 FACULTY COURT",2009,2008,8,12.71,NA,2068,NA,0,0,NA,0,NA,1.6,NA,1.6,0.35,NA
211,"11 FACULTY COURT",2009,2008,9,9.74,NA,1378,NA,0,0,NA,0,NA,3,NA,3,0.28,NA
211,"11 FACULTY COURT",2009,2008,10,7.06,NA,1689,NA,0,0,NA,0,NA,14.3,NA,14.3,0.28,NA
211,"11 FACULTY COURT",2009,2008,11,6.6,NA,1227,NA,0,0,NA,0,NA,21.9,NA,21.9,0.25,NA
211,"11 FACULTY COURT",2009,2008,12,6.47,NA,1563,NA,0,0,NA,0,NA,40.4,NA,40.4,0.21,NA
211,"11 FACULTY COURT",2009,2009,1,6.5,NA,1355,NA,0,0,NA,0,NA,29.5,NA,29.5,0.21,NA
211,"11 FACULTY COURT",2009,2009,2,7.52,NA,1511,NA,0,0,NA,0,NA,26.4,NA,26.4,0.26,NA
211,"11 FACULTY COURT",2009,2009,3,6.43,NA,1376,NA,0,0,NA,0,NA,26.1,NA,26.1,0.23,NA
211,"11 FACULTY COURT",2009,2009,4,7.55,NA,1655,NA,0,0,NA,0,NA,16.2,NA,16.2,0.38,NA
