ACCTYR,ACCTMO, KW-Units , KWH-Units ,GAS-DKT-Units,WATER-MCF, ELEC , GAS , Water-Sewer 
2005,1,"  7,513.01 ","  4,071,332 ","  54,120.4 ","  1,560.93 ","  204,065.80 ","  393,559.04 ","  46,612.58 "
2005,2,"  7,941.00 ","  3,965,889 ","  43,168.6 ","  2,003.30 ","  199,244.22 ","  313,489.65 ","  59,195.87 "
2005,3,"  7,284.00 ","  4,063,215 ","  41,646.0 ","  2,067.77 ","  205,614.66 ","  301,922.31 ","  61,145.92 "
2005,4,"  8,062.01 ","  4,201,543 ","  35,589.8 ","  2,133.72 ","  232,361.97 ","  264,826.47 ","  63,203.83 "
2005,5,"  7,610.00 ","  3,851,238 ","  25,656.5 ","  2,154.11 ","  221,259.75 ","  204,432.27 ","  63,681.39 "
2005,6,"  7,755.00 ","  3,791,746 ","  15,976.6 ","  1,460.31 ","  216,923.10 ","  144,856.70 ","  43,593.51 "
2005,7,"  7,860.00 ","  4,089,161 ","  11,059.7 ","  2,608.46 ","  240,077.83 ","  122,328.13 ","  76,861.55 "
2005,8,"  8,615.00 ","  4,106,518 ","  11,876.7 ","  2,813.24 ","  244,882.11 ","  127,540.36 ","  92,698.13 "
2005,9,"  8,438.00 ","  4,314,411 ","  19,862.6 ","  2,688.91 ","  253,548.08 ","  182,874.19 ","  88,968.93 "
2005,10,"  8,214.00 ","  4,442,990 ","  30,623.8 ","  2,433.96 ","  262,069.21 ","  259,020.18 ","  80,567.64 "
2005,11,"  7,977.00 ","  4,228,183 ","  41,203.1 ","  2,382.74 ","  240,759.08 ","  333,605.85 ","  78,900.98 "
2005,12,"  7,919.00 ","  4,105,455 ","  54,567.4 ","  2,172.35 ","  216,158.22 ","  433,290.72 ","  72,130.23 "
2006,1,"  7,430.00 ","  4,059,208 ","  47,485.6 ","  1,869.55 ","  189,619.36 ","  386,830.52 ","  62,504.31 "
2006,2,"  7,931.00 ","  4,128,825 ","  48,199.1 ","  1,945.49 ","  191,462.91 ","  391,774.27 ","  64,635.78 "
2006,3,"  7,939.00 ","  4,450,285 ","  45,085.5 ","  1,998.38 ","  201,307.66 ","  369,471.11 ","  66,324.48 "
2006,4,"  8,034.00 ","  4,327,271 ","  34,105.2 ","  2,110.63 ","  187,694.89 ","  289,547.42 ","  70,186.55 "
2006,5,"  7,613.00 ","  3,944,546 ","  22,236.4 ","  2,342.09 ","  190,530.81 ","  204,999.89 ","  77,693.16 "
2006,6,"  7,652.00 ","  3,927,465 ","  13,623.4 ","  1,936.46 ","  193,690.72 ","  143,800.70 ","  64,254.85 "
2006,7,"  7,756.00 ","  4,200,578 ","  12,573.4 ","  2,872.43 ","  218,778.77 ","  135,089.80 ","  94,845.64 "
2006,8,"  8,407.00 ","  4,209,117 ","  13,213.4 ","  3,034.38 ","  222,059.04 ","  138,592.50 ","  110,004.70 "
2006,9,"  8,355.00 ","  4,372,554 ","  22,056.9 ","  3,346.65 ","  241,438.70 ","  199,501.85 ","  121,452.59 "
2006,10,"  8,132.00 ","  4,446,521 ","  34,618.7 ","  2,650.87 ","  235,083.50 ","  289,270.81 ","  96,473.76 "
2006,11,"  7,913.00 ","  4,259,889 ","  41,587.6 ","  2,125.34 ","  196,852.02 ","  337,419.09 ","  77,574.05 "
2006,12,"  7,970.00 ","  4,199,964 ","  52,247.6 ","  2,469.42 ","  179,015.86 ","  418,057.29 ","  87,150.02 "
2007,1,"  7,812.00 ","  4,416,732 ","  57,154.4 ","  1,712.01 ","  187,911.73 ","  448,761.19 ","  65,538.81 "
2007,2,"  7,763.00 ","  4,200,681 ","  47,018.2 ","  2,204.57 ","  210,558.38 ","  379,538.89 ","  79,136.23 "
2007,3,"  7,909.00 ","  4,310,377 ","  39,134.0 ","  2,023.26 ","  220,418.10 ","  324,158.41 ","  74,002.41 "
2007,4,"  7,910.00 ","  4,321,565 ","  37,081.5 ","  2,100.42 ","  217,610.52 ","  306,901.36 ","  77,019.86 "
2007,5,"  8,158.00 ","  4,048,612 ","  24,299.5 ","  2,053.47 ","  205,867.91 ","  218,859.57 ","  75,072.71 "
2007,6,"  7,364.00 ","  3,861,523 ","  13,781.2 ","  1,674.72 ","  203,940.80 ","  145,703.37 ","  61,705.22 "
2007,7,"  7,997.00 ","  4,240,177 ","  11,934.0 ","  2,330.02 ","  264,475.15 ","  148,634.18 ","  85,136.64 "
2007,8,"  8,324.00 ","  4,305,636 ","  12,009.7 ","  2,999.40 ","  288,238.78 ","  149,326.28 ","  111,829.53 "
2007,9,"  8,469.00 ","  4,354,727 ","  20,451.5 ","  2,817.91 ","  283,214.41 ","  219,900.89 ","  105,254.84 "
2007,10,"  8,323.00 ","  4,586,024 ","  32,024.6 ","  2,594.87 ","  253,986.52 ","  330,264.89 ","  97,164.40 "
2007,11,"  8,652.00 ","  4,699,218 ","  42,921.8 ","  2,218.62 ","  239,643.60 ","  414,557.25 ","  83,300.02 "
2007,12,"  8,158.00 ","  4,347,921 ","  51,974.6 ","  2,015.95 ","  219,114.47 ","  488,849.73 ","  75,934.36 "
2008,1,"  8,508.00 ","  4,513,489 ","  57,477.7 ","  1,465.52 ","  199,393.03 ","  535,972.53 ","  55,749.49 "
2008,2,"  8,360.20 ","  4,526,215 ","  47,065.9 ","  2,102.76 ","  217,016.37 ","  449,427.52 ","  79,167.41 "
