"common_name","genus","species","type","cultivar","date_removed","latitude","longitude"
"White Oak","Quercus","alba","Deciduous",NA,NA,-111.052,45.66861
"Cottonwood","Populus","deltoides","Deciduous",NA,"3/8/2016 0:00",-111.049,45.66401
"Hackberry","Celtis","occidentalis","Deciduous",NA,NA,-111.052,45.66387
"Apple","Malus",NA,"Deciduous",NA,NA,-111.049,45.66506
"Flowering Crab Apple","Malus",NA,"Deciduous",NA,NA,-111.05,45.66316
"Chokecherry","Prunus","virginiana","Deciduous",NA,NA,-111.05,45.66345
"Flowering Crab Apple","Malus",NA,"Deciduous",NA,NA,-111.05,45.66356
"Flowering Crab Apple","Malus",NA,"Deciduous",NA,NA,-111.05,45.66355
"Flowering Crab Apple","Malus",NA,"Deciduous",NA,NA,-111.05,45.66357
"Cottonwood","Populus","deltoides","Deciduous",NA,NA,-111.048,45.66287
"Cottonwood","Populus","deltoides","Deciduous",NA,NA,-111.048,45.66285
"Cottonwood","Populus","deltoides","Deciduous",NA,NA,-111.047,45.66285
"Cottonwood","Populus","deltoides","Deciduous",NA,NA,-111.047,45.66287
"Cottonwood","Populus","deltoides","Deciduous",NA,NA,-111.047,45.66286
"American Elm","Ulmus","americana","Deciduous","Cathredral",NA,-111.047,45.66286
"Linden","Tilia",NA,"Deciduous",NA,NA,-111.047,45.66312
"Linden","Tilia",NA,"Deciduous",NA,NA,-111.047,45.66322
"Linden","Tilia",NA,"Deciduous",NA,NA,-111.047,45.66345
"Honey Locust","Gleditsia","triacanthos","Deciduous","Inermis","10/5/2015 0:00",-111.047,45.66378
"Honey Locust","Gleditsia","triacanthos","Deciduous","Inermis","10/5/2015 6:00",-111.047,45.66383
"Honey Locust","Gleditsia","triacanthos","Deciduous","Inermis","10/7/2015 0:00",-111.047,45.66377
"Honey Locust","Gleditsia","tricanthos","Deciduous","Inermis","10/5/2015 0:00",-111.047,45.66386
"Honey Locust","Gleditsia","tricanthos","Deciduous","Inermis","10/5/2015 0:00",-111.047,45.66376
"Honey Locust","Gleditsia","tricanthos","Deciduous","Inermis","10/5/2015 0:00",-111.047,45.66377
"Honey Locust","Gleditsia","tricanthos","Deciduous",NA,"10/7/2015 0:00",-111.047,45.66385
"Honey Locust","Gleditsia","tricanthos","Deciduous","Inermis","10/5/2015 6:00",-111.048,45.66385
"Honey Locust","Gleditsia","tricanthos","Deciduous","Inermis","10/7/2015 0:00",-111.048,45.66384
"Bur Oak","Quercus","macrocarpa","Deciduous",NA,NA,-111.048,45.66333
"Bur Oak","Quercus","macrocarpa","Deciduous",NA,"10/7/2015 0:00",-111.048,45.66337
"Linden","Tilia","americana","Deciduous",NA,NA,-111.048,45.66363
"Green Ash","Fraxinus","pensilvanica","Deciduous",NA,"10/5/2015 0:00",-111.048,45.66376
"Flowering Crab Apple","Malus","x","Deciduous",NA,"10/5/2015 6:00",-111.048,45.66357
"Linden","Tilia","americana","Deciduous",NA,"10/5/2015 0:00",-111.048,45.66386
"Maple (Norway)","Acer","platanoides","Deciduous",NA,"8/16/2016 19:18",-111.047,45.66507
"Amur Cherry","Prunus","maackii","Deciduous",NA,"8/16/2016 19:17",-111.047,45.66508
"Amur Cherry","Prunus","maackii","Deciduous",NA,"8/16/2016 19:16",-111.048,45.66507
"Ginnala Maple","Acer","ginnala","Deciduous",NA,"8/16/2016 19:16",-111.048,45.66507
"Green Ash","Fraxinus","pennsylvanica","Deciduous",NA,NA,-111.052,45.66268
"Green Ash","Fraxinus","pennsylvanica","Deciduous",NA,NA,-111.052,45.66249
"Green Ash","Fraxinus","pennsylvanica","Deciduous",NA,NA,-111.052,45.66205
"Green Ash","Fraxinus","pennsylvanica","Deciduous",NA,NA,-111.052,45.66184
"American Linden","Tilia","americana","Deciduous",NA,NA,-111.052,45.66241
"American Linden","Tilia","americana","Deciduous",NA,NA,-111.052,45.66216
"American Linden","Tilia","americana","Deciduous",NA,NA,-111.052,45.66166
"American Linden","Tilia","americana","Deciduous",NA,NA,-111.052,45.66146
"American Linden","Tilia","americana","Deciduous",NA,NA,-111.052,45.66121
"Silver Maple","Acer","saccarinum","Deciduous",NA,NA,-111.052,45.66108
"Silver Maple","Acer","saccarinum","Deciduous",NA,NA,-111.052,45.66097
"Silver Maple","Acer","saccarinum","Deciduous",NA,NA,-111.052,45.66083
"Ginnala Maple","Acer","ginnala","Deciduous",NA,NA,-111.052,45.66064
"Ginnala Maple","Acer","ginnala","Deciduous",NA,NA,-111.052,45.66063
"Ginnala Maple","Acer","ginnala","Deciduous",NA,NA,-111.052,45.66061
"Ginnala Maple","Acer","ginnala","Deciduous",NA,NA,-111.052,45.66062
"Ginnala Maple","Acer","ginnala","Deciduous",NA,NA,-111.052,45.66058
"Apple","Malus",NA,"Deciduous",NA,NA,-111.051,45.66363
